problem,instance,method,backend,transpiled_two_qubit_gates,fidelity_proxy,hardware_feasible,hardware_optimality_gap_percent,marker_key,problem_color_key,panel
MDKP,pb4,VQE,ibm_torino,249,0.473254137566,true,33.63,circle,MDKP,signal_preserving
MDKP,pb5,VQE,ibm_torino,847,0.0784872458853,true,29.73,circle,MDKP,signal_preserving
MDKP,pet2,VQE,ibm_torino,354,0.345212125911,true,16.98,circle,MDKP,signal_preserving
MDKP,pet3,VQE,ibm_torino,324,0.377773328767,true,32.38,circle,MDKP,signal_preserving
MDKP,pet4,VQE,ibm_torino,516,0.212178653399,true,44.69,circle,MDKP,signal_preserving
MDKP,pet5,VQE,ibm_torino,1016,0.0472368408376,true,25.65,circle,MDKP,signal_preserving
MDKP,pet6,VQE,ibm_torino,336,0.364395657389,true,20.24,circle,MDKP,signal_preserving
MDKP,pet7,VQE,ibm_torino,300,0.406020062292,true,23.28,circle,MDKP,signal_preserving
MDKP,hp1,WS-QAOA,ibm_torino,23114,6.91654513929e-31,true,23.61,downward_triangle,MDKP,noise_dominated
MDKP,hp2,WS-QAOA,ibm_torino,29111,1.0345550634e-38,true,29.19,downward_triangle,MDKP,noise_dominated
MDKP,pb1,WS-QAOA,ibm_torino,21601,6.51800501195e-29,true,28.45,downward_triangle,MDKP,noise_dominated
MDKP,pb2,WS-QAOA,ibm_torino,28131,1.96561503401e-37,true,33.93,downward_triangle,MDKP,noise_dominated
MDKP,pb4,WS-QAOA,ibm_torino,11698,5.44454923835e-16,true,43.13,downward_triangle,MDKP,noise_dominated
MDKP,pb5,WS-QAOA,ibm_torino,47419,1.33570939412e-62,true,20.8,downward_triangle,MDKP,noise_dominated
MDKP,pet2,WS-QAOA,ibm_torino,23458,2.46050173053e-31,true,1.28,downward_triangle,MDKP,noise_dominated
MDKP,pet3,WS-QAOA,ibm_fez,32589,2.99580967189e-43,true,36.74,downward_triangle,MDKP,noise_dominated
MDKP,pet4,WS-QAOA,ibm_torino,41282,1.35995776716e-54,true,25.65,downward_triangle,MDKP,noise_dominated
MDKP,pet5,WS-QAOA,ibm_torino,64628,4.68480335096e-85,true,13.79,downward_triangle,MDKP,noise_dominated
MDKP,pet6,WS-QAOA,ibm_torino,45559,3.57040531819e-60,true,30.45,downward_triangle,MDKP,noise_dominated
MDKP,pet7,WS-QAOA,ibm_torino,65953,8.74532852302e-87,true,27.62,downward_triangle,MDKP,noise_dominated
