case_id,problem,instance,method,initialization_seed,budget_multiplier,objective_evaluation_index,optimizer_iteration_index,objective_value,best_objective_so_far,cumulative_runtime_seconds
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,102,102,171112504.685,161766626.332,99.56038498878479
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,103,103,169567684.282,161766626.332,100.5538969039917
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,104,104,178316835.551,161766626.332,101.54766988754272
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,105,105,176296442.734,161766626.332,102.5145628452301
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,106,106,175175979.869,161766626.332,103.50180411338806
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,107,107,178798383.047,161766626.332,104.46866822242737
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,108,108,180027841.47,161766626.332,105.43894743919373
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,109,109,171867172.694,161766626.332,106.46537637710571
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,110,110,164450431.485,161766626.332,107.44106340408325
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,111,111,175163953.118,161766626.332,108.41668725013733
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,112,112,163996034.852,161766626.332,109.38872933387756
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,113,113,169013680.417,161766626.332,110.35894727706909
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,114,114,170940059.919,161766626.332,111.32975316047668
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,115,115,173415203.116,161766626.332,112.32408428192139
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,116,116,168033827.102,161766626.332,113.30098509788513
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,117,117,176017535.357,161766626.332,114.27043294906616
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,118,118,170878709.215,161766626.332,115.26139998435974
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,119,119,165282107.264,161766626.332,116.2326009273529
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,120,120,174015694.007,161766626.332,117.20602989196777
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,121,121,175401758.285,161766626.332,118.1953821182251
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,122,122,177693006.409,161766626.332,119.16573119163513
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,123,123,164409605.443,161766626.332,120.13321328163147
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,124,124,175644983.471,161766626.332,121.12266039848328
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,125,125,172721787.666,161766626.332,122.0954065322876
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,126,126,174413341.202,161766626.332,123.07047247886658
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,127,127,170162453.913,161766626.332,124.04416251182556
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,128,128,176436342.147,161766626.332,125.0153295993805
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,129,129,172313864.334,161766626.332,125.99725461006165
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,130,130,174151981.245,161766626.332,126.98932456970215
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,131,131,175415178.918,161766626.332,127.98275351524353
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,132,132,169481548.673,161766626.332,128.9531078338623
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,133,133,181490491.311,161766626.332,129.93211674690247
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,134,134,169716687.881,161766626.332,130.89946675300598
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,135,135,173424388.167,161766626.332,131.89063167572021
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,136,136,172138095.312,161766626.332,132.9224874973297
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,137,137,168196950.609,161766626.332,133.8917155265808
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,138,138,169542471.878,161766626.332,134.86135077476501
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,139,139,174242852.041,161766626.332,135.8445427417755
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,140,140,172488449.188,161766626.332,136.8247046470642
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,141,141,172797426.101,161766626.332,137.79626274108887
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,142,142,172350670.242,161766626.332,138.7890965938568
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,143,143,179217100.059,161766626.332,139.76527547836304
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,144,144,164108289.896,161766626.332,140.73004031181335
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,145,145,168030891.503,161766626.332,141.7021713256836
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,146,146,173337875.751,161766626.332,142.70346021652222
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,147,147,182331837.467,161766626.332,143.6859531402588
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,148,148,175490839.39,161766626.332,144.67093634605408
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,149,149,179718267.611,161766626.332,145.640043258667
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,150,150,173056845.209,161766626.332,146.60697317123413
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,151,151,168614747.36,161766626.332,147.59189915657043
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,152,152,170591852.801,161766626.332,148.58176612854004
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,153,153,171497992.931,161766626.332,149.55083513259888
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,154,154,167811312.196,161766626.332,150.55446219444275
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,155,155,175347005.768,161766626.332,151.52151918411255
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,156,156,179212394.706,161766626.332,152.49637627601624
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,157,157,166867862.308,161766626.332,153.5065402984619
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,158,158,168184030.912,161766626.332,154.47457218170166
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,159,159,171037319.336,161766626.332,155.45591711997986
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,160,160,173092037.643,161766626.332,156.43743991851807
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,161,161,168437166.166,161766626.332,157.40841102600098
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,162,162,172142886.029,161766626.332,158.449401140213
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,163,163,171193802.003,161766626.332,159.42700695991516
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,164,164,174986978.598,161766626.332,160.41333770751953
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,165,165,174649108.132,161766626.332,161.3834569454193
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,166,166,166016105.329,161766626.332,162.38391780853271
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,167,167,167638149.207,161766626.332,163.37886452674866
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,168,168,170001448.504,161766626.332,164.34761953353882
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,169,169,167808621.451,161766626.332,165.33815741539001
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,170,170,170477975.432,161766626.332,166.30477261543274
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,171,171,180156760.951,161766626.332,167.28345584869385
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,172,172,165654654.291,161766626.332,168.27475500106812
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,173,173,169095089.666,161766626.332,169.2517969608307
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,174,174,176723328.225,161766626.332,170.2326009273529
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,175,175,170267273.628,161766626.332,171.25192785263062
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,176,176,173065347.176,161766626.332,172.22120475769043
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,177,177,171881882.457,161766626.332,173.19437885284424
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,178,178,161954861.458,161766626.332,174.20218086242676
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,179,179,164502953.439,161766626.332,175.1750795841217
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,180,180,171849729.639,161766626.332,176.14679670333862
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,181,181,176882091.11,161766626.332,177.1190037727356
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,182,182,173036140.927,161766626.332,178.09190368652344
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,183,183,163102087.916,161766626.332,179.05907273292542
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,184,184,175747099.099,161766626.332,180.06050848960876
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,185,185,169266964.338,161766626.332,181.0269124507904
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,186,186,176828084.532,161766626.332,181.99197626113892
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,187,187,168286278.506,161766626.332,182.98566436767578
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,188,188,164290396.818,161766626.332,183.94637250900269
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,189,189,177547993.876,161766626.332,184.92882657051086
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,190,190,174721585.781,161766626.332,185.92277932167053
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,191,191,170519342.532,161766626.332,186.9009931087494
R1_mdkp_hp1_vqe,mkp,hp1.dat,vqe,1103,1,192,192,172070230.123,161766626.332,187.87501502037048
